date_sk,date,year,month,day,week,dow,ym
1,2024-01-01 04:01:10,2024,1,1,1,1,2024-01
2,2024-01-01 04:38:02,2024,1,1,1,1,2024-01
3,2024-01-01 06:57:42,2024,1,1,1,1,2024-01
4,2024-01-01 09:49:48,2024,1,1,1,1,2024-01
5,2024-01-01 10:33:55,2024,1,1,1,1,2024-01
6,2024-01-01 12:54:18,2024,1,1,1,1,2024-01
7,2024-01-01 16:03:41,2024,1,1,1,1,2024-01
8,2024-01-01 16:42:49,2024,1,1,1,1,2024-01
9,2024-01-01 17:01:27,2024,1,1,1,1,2024-01
10,2024-01-01 18:07:21,2024,1,1,1,1,2024-01
11,2024-01-01 18:20:27,2024,1,1,1,1,2024-01
12,2024-01-01 21:10:13,2024,1,1,1,1,2024-01
13,2024-01-01 21:43:48,2024,1,1,1,1,2024-01
14,2024-01-01 22:29:03,2024,1,1,1,1,2024-01
15,2024-01-01 22:53:36,2024,1,1,1,1,2024-01
16,2024-01-01 23:36:04,2024,1,1,1,1,2024-01
17,2024-01-01 23:38:12,2024,1,1,1,1,2024-01
18,2024-01-02 00:19:18,2024,1,2,1,2,2024-01
19,2024-01-02 01:01:50,2024,1,2,1,2,2024-01
20,2024-01-02 01:37:18,2024,1,2,1,2,2024-01
21,2024-01-02 01:48:22,2024,1,2,1,2,2024-01
22,2024-01-02 02:10:03,2024,1,2,1,2,2024-01
23,2024-01-02 02:20:35,2024,1,2,1,2,2024-01
24,2024-01-02 02:24:48,2024,1,2,1,2,2024-01
25,2024-01-02 03:01:09,2024,1,2,1,2,2024-01
26,2024-01-02 03:10:04,2024,1,2,1,2,2024-01
27,2024-01-02 03:21:38,2024,1,2,1,2,2024-01
28,2024-01-02 03:24:42,2024,1,2,1,2,2024-01
29,2024-01-02 04:46:08,2024,1,2,1,2,2024-01
30,2024-01-02 05:31:16,2024,1,2,1,2,2024-01
31,2024-01-02 05:47:13,2024,1,2,1,2,2024-01
32,2024-01-02 06:11:38,2024,1,2,1,2,2024-01
33,2024-01-02 06:54:24,2024,1,2,1,2,2024-01
34,2024-01-02 07:39:50,2024,1,2,1,2,2024-01
35,2024-01-02 08:43:10,2024,1,2,1,2,2024-01
36,2024-01-02 09:11:39,2024,1,2,1,2,2024-01
37,2024-01-02 10:22:00,2024,1,2,1,2,2024-01
38,2024-01-02 11:33:52,2024,1,2,1,2,2024-01
39,2024-01-02 11:44:37,2024,1,2,1,2,2024-01
40,2024-01-02 14:28:29,2024,1,2,1,2,2024-01
41,2024-01-02 15:28:56,2024,1,2,1,2,2024-01
42,2024-01-02 16:25:54,2024,1,2,1,2,2024-01
43,2024-01-02 20:11:48,2024,1,2,1,2,2024-01
44,2024-01-03 00:37:07,2024,1,3,1,3,2024-01
45,2024-01-03 01:42:50,2024,1,3,1,3,2024-01
46,2024-01-03 03:13:36,2024,1,3,1,3,2024-01
47,2024-01-03 03:48:44,2024,1,3,1,3,2024-01
48,2024-01-03 04:23:24,2024,1,3,1,3,2024-01
49,2024-01-03 06:11:05,2024,1,3,1,3,2024-01
50,2024-01-03 08:23:39,2024,1,3,1,3,2024-01
51,2024-01-03 09:30:03,2024,1,3,1,3,2024-01
52,2024-01-03 09:35:02,2024,1,3,1,3,2024-01
53,2024-01-03 09:46:59,2024,1,3,1,3,2024-01
54,2024-01-03 09:55:08,2024,1,3,1,3,2024-01
55,2024-01-03 09:57:37,2024,1,3,1,3,2024-01
56,2024-01-03 10:01:39,2024,1,3,1,3,2024-01
57,2024-01-03 10:14:14,2024,1,3,1,3,2024-01
58,2024-01-03 13:59:09,2024,1,3,1,3,2024-01
59,2024-01-03 13:59:23,2024,1,3,1,3,2024-01
60,2024-01-03 18:28:29,2024,1,3,1,3,2024-01
61,2024-01-03 20:35:16,2024,1,3,1,3,2024-01
62,2024-01-03 20:54:12,2024,1,3,1,3,2024-01
63,2024-01-03 23:27:43,2024,1,3,1,3,2024-01
64,2024-01-04 01:48:54,2024,1,4,1,4,2024-01
65,2024-01-04 02:15:28,2024,1,4,1,4,2024-01
66,2024-01-04 03:54:00,2024,1,4,1,4,2024-01
67,2024-01-04 06:23:57,2024,1,4,1,4,2024-01
68,2024-01-04 11:07:12,2024,1,4,1,4,2024-01
69,2024-01-04 11:16:17,2024,1,4,1,4,2024-01
70,2024-01-04 13:17:00,2024,1,4,1,4,2024-01
71,2024-01-04 14:46:18,2024,1,4,1,4,2024-01
72,2024-01-04 16:05:05,2024,1,4,1,4,2024-01
73,2024-01-04 16:56:23,2024,1,4,1,4,2024-01
74,2024-01-04 19:04:29,2024,1,4,1,4,2024-01
75,2024-01-04 20:20:44,2024,1,4,1,4,2024-01
76,2024-01-04 22:27:19,2024,1,4,1,4,2024-01
77,2024-01-04 22:46:47,2024,1,4,1,4,2024-01
78,2024-01-04 23:08:27,2024,1,4,1,4,2024-01
79,2024-01-04 23:52:25,2024,1,4,1,4,2024-01
80,2024-01-05 00:31:08,2024,1,5,1,5,2024-01
81,2024-01-05 01:01:53,2024,1,5,1,5,2024-01
82,2024-01-05 01:08:30,2024,1,5,1,5,2024-01
83,2024-01-05 01:19:15,2024,1,5,1,5,2024-01
84,2024-01-05 03:24:59,2024,1,5,1,5,2024-01
85,2024-01-05 03:38:27,2024,1,5,1,5,2024-01
86,2024-01-05 04:05:58,2024,1,5,1,5,2024-01
87,2024-01-05 05:12:24,2024,1,5,1,5,2024-01
88,2024-01-05 08:34:14,2024,1,5,1,5,2024-01
89,2024-01-05 11:24:03,2024,1,5,1,5,2024-01
90,2024-01-05 11:58:37,2024,1,5,1,5,2024-01
91,2024-01-05 12:05:28,2024,1,5,1,5,2024-01
92,2024-01-05 14:36:41,2024,1,5,1,5,2024-01
93,2024-01-05 16:30:11,2024,1,5,1,5,2024-01
94,2024-01-05 16:43:34,2024,1,5,1,5,2024-01
95,2024-01-05 17:31:50,2024,1,5,1,5,2024-01
96,2024-01-05 19:12:52,2024,1,5,1,5,2024-01
97,2024-01-06 01:50:47,2024,1,6,1,6,2024-01
98,2024-01-06 02:05:46,2024,1,6,1,6,2024-01
99,2024-01-06 03:17:27,2024,1,6,1,6,2024-01
100,2024-01-06 03:49:59,2024,1,6,1,6,2024-01
101,2024-01-06 04:23:44,2024,1,6,1,6,2024-01
102,2024-01-06 05:28:28,2024,1,6,1,6,2024-01
103,2024-01-06 06:40:47,2024,1,6,1,6,2024-01
104,2024-01-06 09:04:35,2024,1,6,1,6,2024-01
105,2024-01-06 12:32:25,2024,1,6,1,6,2024-01
106,2024-01-06 12:52:57,2024,1,6,1,6,2024-01
107,2024-01-06 14:15:27,2024,1,6,1,6,2024-01
108,2024-01-06 16:08:19,2024,1,6,1,6,2024-01
109,2024-01-06 20:31:07,2024,1,6,1,6,2024-01
110,2024-01-06 20:36:00,2024,1,6,1,6,2024-01
111,2024-01-06 22:14:09,2024,1,6,1,6,2024-01
112,2024-01-07 03:29:56,2024,1,7,1,7,2024-01
113,2024-01-07 04:20:27,2024,1,7,1,7,2024-01
114,2024-01-07 04:42:41,2024,1,7,1,7,2024-01
115,2024-01-07 05:52:07,2024,1,7,1,7,2024-01
116,2024-01-07 06:07:33,2024,1,7,1,7,2024-01
117,2024-01-07 07:18:50,2024,1,7,1,7,2024-01
118,2024-01-07 12:12:37,2024,1,7,1,7,2024-01
119,2024-01-07 17:10:11,2024,1,7,1,7,2024-01
120,2024-01-07 18:46:04,2024,1,7,1,7,2024-01
121,2024-01-07 19:05:35,2024,1,7,1,7,2024-01
122,2024-01-07 21:23:19,2024,1,7,1,7,2024-01
123,2024-01-07 21:45:25,2024,1,7,1,7,2024-01
124,2024-01-07 21:50:21,2024,1,7,1,7,2024-01
125,2024-01-07 21:52:10,2024,1,7,1,7,2024-01
126,2024-01-07 22:28:43,2024,1,7,1,7,2024-01
127,2024-01-07 23:20:33,2024,1,7,1,7,2024-01
128,2024-01-08 00:18:03,2024,1,8,2,1,2024-01
129,2024-01-08 01:20:49,2024,1,8,2,1,2024-01
130,2024-01-08 04:12:41,2024,1,8,2,1,2024-01
131,2024-01-08 05:29:02,2024,1,8,2,1,2024-01
132,2024-01-08 05:58:36,2024,1,8,2,1,2024-01
133,2024-01-08 07:45:12,2024,1,8,2,1,2024-01
134,2024-01-08 10:34:26,2024,1,8,2,1,2024-01
135,2024-01-08 10:58:51,2024,1,8,2,1,2024-01
136,2024-01-08 14:30:04,2024,1,8,2,1,2024-01
137,2024-01-08 15:07:10,2024,1,8,2,1,2024-01
138,2024-01-08 16:15:50,2024,1,8,2,1,2024-01
139,2024-01-08 19:18:46,2024,1,8,2,1,2024-01
140,2024-01-08 20:39:41,2024,1,8,2,1,2024-01
141,2024-01-08 22:58:57,2024,1,8,2,1,2024-01
142,2024-01-08 23:49:17,2024,1,8,2,1,2024-01
143,2024-01-09 01:00:31,2024,1,9,2,2,2024-01
144,2024-01-09 02:02:21,2024,1,9,2,2,2024-01
145,2024-01-09 02:33:49,2024,1,9,2,2,2024-01
146,2024-01-09 03:23:32,2024,1,9,2,2,2024-01
147,2024-01-09 03:36:21,2024,1,9,2,2,2024-01
