response_id,channel_sk,customer_id,score,response_date
13000000000,1,1083,10,2024-06-01 03:07:26
13000000001,1,1383,5,2024-03-11 13:19:21
13000000002,1,179,10,2024-04-11 23:16:07
13000000003,1,566,7,2024-06-30 17:09:09
13000000004,1,1004,8,2025-02-05 02:14:04
13000000005,1,1261,10,2025-06-14 03:14:19
13000000006,1,1376,6,2024-04-19 16:54:51
13000000007,1,837,3,2024-07-03 21:24:42
13000000008,1,994,7,2025-07-21 20:49:01
13000000009,1,192,8,2024-04-13 08:57:20
13000000010,1,1330,6,2024-11-04 16:13:34
13000000011,2,442,0,2025-07-03 01:14:44
13000000012,1,57,7,2025-04-30 09:11:49
13000000013,1,559,8,2025-08-07 09:04:49
13000000014,1,130,10,2025-04-16 12:47:22
13000000015,2,238,4,2024-06-26 03:02:56
13000000016,1,629,8,2025-04-17 10:53:49
13000000017,2,1162,7,2024-05-20 06:01:40
13000000018,2,80,9,2024-10-05 22:11:11
13000000019,2,1233,2,2024-03-19 06:51:10
13000000020,1,217,2,2024-08-10 22:17:11
13000000021,2,1015,5,2025-08-19 12:23:24
13000000022,2,1086,7,2024-04-08 15:30:30
13000000023,1,692,9,2024-01-28 17:20:54
13000000024,1,960,6,2024-10-26 18:33:14
13000000025,2,695,2,2025-03-30 05:45:07
13000000026,1,438,10,2025-06-07 11:44:23
13000000027,1,564,9,2025-05-08 00:53:32
13000000028,1,1261,7,2025-05-25 21:17:36
13000000029,2,1122,4,2024-06-10 01:15:40
13000000030,1,1427,5,2025-10-06 14:57:36
13000000031,1,661,10,2024-08-30 23:16:06
13000000032,2,1055,8,2025-02-08 09:38:10
13000000033,2,321,8,2025-03-08 01:47:46
13000000034,1,500,10,2024-07-22 04:57:19
13000000035,1,544,8,2024-06-18 21:33:38
13000000036,2,1405,8,2024-07-23 01:29:34
13000000037,1,952,5,2024-08-31 06:49:31
13000000038,2,128,3,2024-12-29 11:45:16
13000000039,2,342,8,2025-07-02 18:54:21
13000000040,2,19,3,2024-05-21 01:36:06
13000000041,1,189,8,2024-07-22 03:55:21
13000000042,1,797,4,2025-09-07 18:46:17
13000000043,2,1004,8,2024-12-11 16:56:35
13000000044,2,426,9,2025-03-30 04:35:06
13000000045,1,1026,8,2025-08-13 00:52:13
13000000046,2,812,7,2025-04-19 22:10:36
13000000047,1,994,10,2024-03-13 21:25:13
13000000048,2,1171,10,2025-07-23 12:41:39
13000000049,2,1207,2,2025-03-26 22:23:24
13000000050,1,1467,8,2024-11-18 16:03:56
13000000051,2,1484,8,2024-06-06 12:49:26
13000000052,1,815,9,2024-05-23 01:17:13
13000000053,1,500,9,2024-07-05 10:13:55
13000000054,2,1048,10,2024-12-16 02:55:03
13000000055,1,19,7,2024-04-14 19:57:51
13000000056,2,804,7,2024-10-05 09:06:36
13000000057,2,500,9,2024-10-23 07:11:59
13000000058,2,1179,7,2025-06-18 16:46:05
13000000059,2,902,9,2025-04-05 16:44:09
13000000060,1,548,6,2024-03-02 17:49:39
13000000061,1,1335,9,2024-01-15 01:01:50
13000000062,1,903,10,2024-07-24 20:38:24
13000000063,1,807,8,2025-04-26 21:04:24
13000000064,2,43,7,2025-03-28 04:27:32
