order_id,date_sk,customer_sk,channel_sk,store_sk,status,total_amount,tax_amount
1000000000,6201,356,1,,FULFILLED,63636.0,10836.0
1000000001,544,601,1,,CREATED,78146.4,13406.4
1000000002,7960,1234,1,,FULFILLED,32064.6,5304.6
1000000003,8012,156,1,,FULFILLED,30855.0,5355.0
1000000004,1626,616,2,4.0,FULFILLED,53451.75,9276.75
1000000005,1295,614,2,2.0,FULFILLED,29040.0,5040.0
1000000006,10561,188,1,,REFUNDED,18442.5,2992.5
1000000007,5940,17,1,,FULFILLED,17535.0,2835.0
1000000008,4410,1148,1,,FULFILLED,109011.0,18711.0
1000000009,1630,1037,1,,PAID,16718.25,2693.25
1000000010,1301,1336,2,1.0,REFUNDED,17787.0,3087.0
1000000011,10063,1239,2,4.0,FULFILLED,41309.4,7169.4
1000000012,4136,1426,2,3.0,FULFILLED,42688.8,7408.8
1000000013,8396,862,2,1.0,PAID,123283.88,21396.38
1000000014,11174,181,1,,PAID,15129.6,2469.6
1000000015,4846,700,1,,CANCELLED,29659.2,4939.2
1000000016,11372,475,1,,FULFILLED,28642.8,4762.8
1000000017,7805,753,2,2.0,FULFILLED,80912.7,14042.7
1000000018,3628,1151,1,,CANCELLED,100107.9,17217.9
1000000019,8964,793,1,,FULFILLED,46023.24,7779.24
1000000020,2308,866,1,,FULFILLED,59895.0,10395.0
1000000021,11867,1110,1,,FULFILLED,29659.2,4939.2
1000000022,1641,854,2,1.0,REFUNDED,29040.0,5040.0
1000000023,10394,379,2,3.0,FULFILLED,82764.0,14364.0
1000000024,8029,441,2,2.0,FULFILLED,14229.6,2469.6
1000000025,11332,125,1,,FULFILLED,86005.88,14718.38
1000000026,6525,1201,1,,FULFILLED,17535.0,2835.0
1000000027,6300,1055,1,,FULFILLED,28488.0,4788.0
1000000028,2504,382,1,,FULFILLED,14520.0,2520.0
1000000029,11688,1456,1,,FULFILLED,79235.4,13595.4
1000000030,9919,1377,2,4.0,PAID,41382.0,7182.0
1000000031,9321,1375,2,4.0,PAID,28459.2,4939.2
1000000032,8271,821,1,,FULFILLED,33870.0,5670.0
1000000033,2928,1475,2,4.0,FULFILLED,17787.0,3087.0
1000000034,6033,634,2,2.0,FULFILLED,103318.88,17931.38
1000000035,206,585,2,1.0,FULFILLED,26136.0,4536.0
1000000036,5021,180,1,,FULFILLED,61158.0,10458.0
1000000037,445,482,1,,FULFILLED,31082.16,5186.16
1000000038,598,620,2,1.0,FULFILLED,14229.6,2469.6
1000000039,2625,603,2,1.0,FULFILLED,71583.6,12423.6
1000000040,1167,1028,1,,CANCELLED,14994.0,2394.0
1000000041,249,1005,2,3.0,FULFILLED,29657.1,5147.1
1000000042,5091,790,1,,FULFILLED,13914.6,2154.6
1000000043,2591,665,1,,PAID,48816.0,8316.0
1000000044,11468,562,1,,FULFILLED,90435.0,15435.0
1000000045,573,998,1,,FULFILLED,44460.0,7560.0
1000000046,205,276,1,,FULFILLED,39930.0,6930.0
1000000047,1222,1469,2,2.0,FULFILLED,13068.0,2268.0
1000000048,4797,408,2,2.0,CREATED,28459.2,4939.2
1000000049,4170,1360,2,2.0,FULFILLED,49005.0,8505.0
1000000050,3835,1423,1,,FULFILLED,35685.0,5985.0
1000000051,4840,741,1,,FULFILLED,38252.7,6482.7
1000000052,5787,969,1,,FULFILLED,85377.6,14817.6
1000000053,4146,729,1,,CANCELLED,33570.0,5670.0
1000000054,1365,251,2,4.0,PAID,14941.08,2593.08
1000000055,10713,1087,2,1.0,PAID,51727.5,8977.5
1000000056,8795,659,1,,FULFILLED,87140.25,14915.25
1000000057,7839,338,2,4.0,FULFILLED,34394.25,5969.25
1000000058,4953,1068,1,,CANCELLED,53953.5,9103.5
1000000059,3370,958,1,,FULFILLED,77682.0,13482.0
1000000060,1020,428,2,4.0,CANCELLED,35283.6,6123.6
1000000061,8007,1337,1,,FULFILLED,15720.0,2520.0
1000000062,6752,1442,2,3.0,FULFILLED,54450.0,9450.0
1000000063,2754,939,1,,FULFILLED,46323.24,7779.24
1000000064,8074,1409,1,,FULFILLED,19168.5,3118.5
1000000065,4875,1062,1,,FULFILLED,43888.8,7408.8
1000000066,452,988,1,,CANCELLED,43888.8,7408.8
1000000067,8770,778,1,,REFUNDED,18687.0,3087.0
1000000068,6282,77,1,,PAID,102166.35,17731.35
1000000069,3015,700,1,,FULFILLED,53361.0,9261.0
