session_id,customer_id,device,date_sk_start,duration_minutes
11000000000,791.0,desktop,,11.0
11000000001,332.0,desktop,,8.0
11000000002,,mobile,,2.0
11000000003,771.0,mobile,,40.0
11000000004,908.0,mobile,,13.0
11000000005,1222.0,mobile,,39.0
11000000006,490.0,mobile,,22.0
11000000007,705.0,mobile,,54.0
11000000008,1161.0,mobile,,9.0
11000000009,841.0,mobile,,13.0
11000000010,,mobile,,37.0
11000000011,162.0,mobile,,35.0
11000000012,,mobile,,
11000000013,1477.0,mobile,,58.0
11000000014,,mobile,,3.0
11000000015,60.0,desktop,,56.0
11000000016,520.0,mobile,,16.0
11000000017,,desktop,,44.0
11000000018,,mobile,,45.0
11000000019,,desktop,,56.0
11000000020,575.0,mobile,,37.0
11000000021,508.0,desktop,,37.0
11000000022,,mobile,,15.0
11000000023,,desktop,,33.0
11000000024,99.0,mobile,,36.0
11000000025,1277.0,mobile,,21.0
11000000026,,mobile,,
11000000027,95.0,tablet,,6.0
11000000028,1286.0,mobile,,39.0
11000000029,1176.0,mobile,,21.0
11000000030,1053.0,desktop,,54.0
11000000031,290.0,mobile,,10.0
11000000032,357.0,mobile,,25.0
11000000033,391.0,mobile,,18.0
11000000034,830.0,desktop,,7.0
11000000035,1076.0,desktop,,36.0
11000000036,,mobile,,9.0
11000000037,622.0,desktop,,48.0
11000000038,990.0,mobile,,1.0
11000000039,902.0,desktop,,20.0
11000000040,572.0,mobile,,
11000000041,1088.0,mobile,,8.0
11000000042,1101.0,mobile,,48.0
11000000043,833.0,mobile,,51.0
11000000044,,mobile,,27.0
11000000045,1371.0,mobile,,4.0
11000000046,1090.0,mobile,,47.0
11000000047,250.0,mobile,,4.0
11000000048,135.0,desktop,,46.0
11000000049,334.0,mobile,,27.0
11000000050,779.0,mobile,,48.0
11000000051,1396.0,desktop,,18.0
11000000052,,mobile,,50.0
11000000053,,mobile,,2.0
11000000054,732.0,mobile,,50.0
11000000055,1267.0,desktop,,14.0
11000000056,298.0,mobile,,24.0
11000000057,933.0,mobile,,43.0
11000000058,550.0,desktop,,31.0
11000000059,,mobile,,24.0
11000000060,342.0,mobile,,34.0
11000000061,568.0,mobile,,
11000000062,498.0,tablet,,28.0
11000000063,,mobile,,27.0
11000000064,1109.0,desktop,,13.0
11000000065,1211.0,mobile,,20.0
11000000066,1443.0,mobile,,49.0
11000000067,811.0,desktop,,12.0
11000000068,1160.0,desktop,,
11000000069,455.0,mobile,,48.0
11000000070,601.0,mobile,,56.0
11000000071,431.0,mobile,,12.0
11000000072,,desktop,,1.0
11000000073,80.0,mobile,,48.0
11000000074,,mobile,,
11000000075,859.0,mobile,,29.0
11000000076,,mobile,,28.0
11000000077,,desktop,,
11000000078,233.0,mobile,,32.0
11000000079,1176.0,desktop,,53.0
11000000080,,mobile,,35.0
11000000081,,desktop,,23.0
11000000082,181.0,mobile,,1.0
11000000083,1064.0,mobile,,47.0
11000000084,166.0,mobile,,28.0
11000000085,1230.0,mobile,,2.0
11000000086,,tablet,,6.0
11000000087,747.0,mobile,,26.0
11000000088,927.0,tablet,,33.0
11000000089,1009.0,mobile,,60.0
11000000090,1334.0,mobile,,
11000000091,51.0,desktop,,23.0
11000000092,1436.0,mobile,,25.0
11000000093,859.0,desktop,,39.0
11000000094,1298.0,mobile,,23.0
11000000095,51.0,mobile,,9.0
11000000096,885.0,mobile,,2.0
11000000097,505.0,mobile,,41.0
11000000098,,mobile,,26.0
11000000099,1.0,mobile,,30.0
11000000100,781.0,desktop,,46.0
11000000101,540.0,mobile,,11.0
11000000102,,mobile,,37.0
11000000103,,mobile,,48.0
11000000104,,desktop,,
11000000105,,mobile,,43.0
11000000106,718.0,mobile,,29.0
11000000107,,mobile,,2.0
11000000108,937.0,mobile,,29.0
11000000109,855.0,mobile,,7.0
11000000110,1396.0,mobile,,11.0
11000000111,465.0,mobile,,52.0
11000000112,,mobile,,37.0
11000000113,,mobile,,31.0
11000000114,,tablet,,42.0
11000000115,785.0,desktop,,48.0
11000000116,49.0,desktop,,7.0
11000000117,725.0,desktop,,20.0
11000000118,647.0,mobile,,60.0
11000000119,1014.0,mobile,,8.0
11000000120,892.0,mobile,,46.0
11000000121,130.0,mobile,,18.0
11000000122,633.0,desktop,,48.0
11000000123,,desktop,,46.0
11000000124,532.0,mobile,,
11000000125,997.0,desktop,,29.0
11000000126,11.0,mobile,,60.0
11000000127,,mobile,,32.0
11000000128,1331.0,mobile,,15.0
11000000129,,mobile,,58.0
11000000130,1084.0,mobile,,45.0
11000000131,1201.0,mobile,,16.0
11000000132,,desktop,,
11000000133,367.0,mobile,,20.0
11000000134,710.0,mobile,,35.0
11000000135,,mobile,,26.0
11000000136,1389.0,desktop,,44.0
11000000137,,mobile,,21.0
11000000138,1160.0,desktop,,2.0
11000000139,1252.0,tablet,,6.0
11000000140,,desktop,,3.0
11000000141,1438.0,mobile,,41.0
11000000142,670.0,mobile,,52.0
11000000143,,desktop,,11.0
11000000144,1207.0,tablet,,18.0
11000000145,1110.0,tablet,,60.0
11000000146,94.0,desktop,,45.0
11000000147,1158.0,mobile,,57.0
11000000148,,mobile,,22.0
11000000149,252.0,mobile,,23.0
11000000150,625.0,desktop,,14.0
11000000151,919.0,desktop,,30.0
11000000152,1053.0,mobile,,48.0
11000000153,1381.0,desktop,,33.0
11000000154,591.0,mobile,,23.0
11000000155,1452.0,mobile,,48.0
11000000156,864.0,desktop,,24.0
11000000157,744.0,mobile,,15.0
11000000158,653.0,mobile,,42.0
11000000159,974.0,mobile,,40.0
11000000160,,mobile,,59.0
11000000161,,mobile,,2.0
11000000162,,mobile,,9.0
11000000163,1105.0,tablet,,4.0
11000000164,1211.0,desktop,,30.0
11000000165,,mobile,,12.0
11000000166,,desktop,,35.0
11000000167,1017.0,desktop,,22.0
11000000168,267.0,mobile,,39.0
11000000169,1228.0,desktop,,36.0
11000000170,1121.0,mobile,,59.0
11000000171,,desktop,,44.0
11000000172,1380.0,mobile,,2.0
11000000173,,mobile,,33.0
11000000174,605.0,mobile,,30.0
11000000175,,mobile,,21.0
11000000176,1309.0,desktop,,50.0
11000000177,1393.0,mobile,,53.0
11000000178,331.0,mobile,,1.0
11000000179,1288.0,mobile,,6.0
11000000180,524.0,mobile,,55.0
11000000181,1374.0,mobile,,
11000000182,67.0,desktop,,19.0
